Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
117414,Combo Loli And The Wolf Xịt Thơm Miệng Vị Đào 20ml + Dung Dịch Vệ Sinh Nam Giới Original 80ml,Kissing Spray Version 2 + Original,Wolf On,Chăm Sóc Cơ Thể / Bộ Chăm Sóc Cơ Thể,268000,210000,22, 2 món,0.0,0,3.0,https://hasaki.vn/san-pham/combo-loli-and-the-wolf-xit-thom-mieng-vi-dao-20ml-dung-dich-ve-sinh-nam-gioi-original-80ml-117414.html
104603,Combo CeraVe Sữa Rửa Mặt Cho Da Khô 236ml + Sữa Dưỡng Thể Cho Da Khô 20ml,Hydrating Cleanser + Moisturising Lotion,CeraVe,Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,326000,300000,8,236ml + 20ml,5.0,3,3.0,https://hasaki.vn/san-pham/combo-cerave-sua-rua-mat-cho-da-kho-236ml-sua-duong-the-cho-da-kho-20ml-104603.html
131564,Kem Lót Silkygirl Cấp Ẩm Căng Bóng 15ml,Prep N Plump Hydra Primer,Silkygirl,Trang Điểm / Trang Điểm Mặt / Kem Lót,198000,157000,21,15ml,0.0,0,4.0,https://hasaki.vn/san-pham/kem-lot-silkygirl-cap-am-cang-bong-15ml-131564.html
113901,Son Tint Lilybyred M12 Muscat Shower - Hồng Lạnh 3.8g,Glassy Layer Fixing Tint,Lilybyred,Trang Điểm / Trang Điểm Môi / Son Kem / Tint,187000,111000,41,12,5.0,7,6.0,https://hasaki.vn/san-pham/son-tint-lilybyred-dang-long-lau-troi-12-san-ho-anh-do-38g-113901.html
129104,Nước Hoa Nam Nữ Monotheme Agrumi Di Sicilia EDT 100ml,Eau De Toilette,Monotheme,Nước Hoa / Nước Hoa Nữ,627000,111000,41,100ml,0.0,0,1.0,https://hasaki.vn/san-pham/nuoc-hoa-monotheme-nam-nu-agrumi-di-sicilia-edt-100ml-129104.html
100961,Sữa Rửa Mặt Nivea Men Bùn Khoáng Sạch Nhờn Mát Lạnh 100g,Bright 8H Oil Clear AirCool Mud,Nivea,Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,82000,65000,21,100g,0.0,0,10.0,https://hasaki.vn/san-pham/sua-rua-mat-nivea-men-bun-khoang-sach-nhon-mat-lanh-100g-100961.html
114205,Combo Caryophy Gel Tẩy Tế Bào Chết 250ml + Sữa Rửa Mặt Ngừa Mụn Giảm Thâm 150ml,Smart Peeling Gel + Portulaca Cleansing Foam,Caryophy,Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,740000,625000,16,2 Món,0.0,0,1.0,https://hasaki.vn/san-pham/combo-caryophy-gel-tay-te-bao-chet-250ml-sua-rua-mat-ngua-mun-giam-tham-150ml-114205.html
58639,Dầu Gội Evoluderm Cho Tóc Khô Dưỡng Tóc Bóng Mượt 400ml,"Argan, Borage & Camellia Oils Enhancing Shampoo For Dry Hair",Evoluderm,Chăm Sóc Tóc Và Da Đầu / Dầu Gội Và Dầu Xả / Dầu Gội,195000,125000,36,400ml,5.0,1,5.0,https://hasaki.vn/san-pham/dau-goi-evoluderm-danh-cho-toc-kho-giup-toc-bong-muot-mem-mai-400ml-58639.html
105189,Combo Cocoon Gel Rửa Mặt & Nước Cân Bằng Bí Đao 140mlx2,Winter Melon Cleanser + Toner,Cocoon,Chăm Sóc Da Mặt / Bộ Chăm Sóc Da Mặt,390000,312000,20,2x140ml,5.0,1,2.0,https://hasaki.vn/san-pham/combo-cocoon-gel-rua-mat-nuoc-can-bang-bi-dao-2x140ml-105189.html
106929,"Mặt Nạ 16plain Plant Stem Cell Phục Hồi, Trẻ Hoá Da 25ml",Multi-care Plant Stem Cell Skin Renewal Mask,16plain,Chăm Sóc Da Mặt / Mặt Nạ / Mặt Nạ Giấy,25000,12000,52,25ml,4.8,6,52.0,https://hasaki.vn/san-pham/mat-na-16plain-plant-stem-cell-phuc-hoi-tre-hoa-da-25ml-106929.html
